status,bytes,url
200,0,https://asmaa.video/ar/safwa/full-day-tasweer/tarkhees-rasmi
200,0,https://asmaa.video/en/mecca/khotuba-tasweer/2026
200,0,https://asmaa.video/ar/mecca/ladies-event/baqat
200,0,https://asmaa.video/en/markaz/khotuba-tasweer/musawira
200,0,https://asmaa.video/ar/jaaberiyah/zaffa-plus-tasweer/ehtirafi
200,0,https://asmaa.video/en/markaz/khotuba-tasweer/asaar
200,0,https://asmaa.video/ar/aiouni/half-day-tasweer/khosomat
200,0,https://asmaa.video/en/taif/half-day-tasweer/bidoun-rijal
200,0,https://asmaa.video/ar/hala/bride-session/baqat
200,0,https://asmaa.video/en/khafji/full-day-tasweer/baqat-shamela
200,0,https://asmaa.video/ar/dhahran/khotuba-tasweer/tarkhees-rasmi
200,0,https://asmaa.video/en/jubail/henna-tasweer/2026
200,0,https://asmaa.video/en/jaaberiyah/khotuba-tasweer/ajl
200,0,https://asmaa.video/en/battaliyah/half-day-tasweer/baqat
200,0,https://asmaa.video/en/battaliyah/ladies-event
200,0,https://asmaa.video/en/qara/zaffa-tasweer/baqat
200,0,https://asmaa.video/ar/saihat/zaffa-plus-tasweer/istisharat-majaniyah
200,0,https://asmaa.video/ar/alahsa/ladies-event
200,0,https://asmaa.video/ar/dhahran/bride-session/musawira
200,0,https://asmaa.video/ar/qatif/henna-tasweer/baqat
200,0,https://asmaa.video/en/safwa/full-day-tasweer/afdal
200,0,https://asmaa.video/ar/dhahran/henna-tasweer/2026
200,0,https://asmaa.video/ar/buqayq/half-day-tasweer/tarkhees-rasmi
200,0,https://asmaa.video/en/altarafiyya/zaffa-plus-tasweer/2026
200,0,https://asmaa.video/en/salasil/khotuba-tasweer/ehtirafi
200,0,https://asmaa.video/en/jubail/khotuba-tasweer/jodah-aliah
200,0,https://asmaa.video/ar/dhahran/zaffa-tasweer/tarkhees-rasmi
200,0,https://asmaa.video/ar/salasil/henna-tasweer/jodah-aliah
